request_id,verdict,triage_utc,approved_utc,exported_utc,turnaround_hours,final_status
treq-975e4e4287,allow,2026-06-10T00:25:36.240290+00:00,,,,pending
treq-b50f82798e,refuse,2026-06-10T00:25:47.925116+00:00,,,,pending
